Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,PLZ,Stadt,Telefon,Mobil,Telefax,E-Mail,Newsletter
300,Frau,Dr.,Sofie,Hutter,14.8.1933,Piusallee 67,84432,Hohenpolding,08084 / 74941382,0161 / 8015218,08084 / 9249649,s.hutter@mail.xyz,ja
301,Herr,Dr.,Claus,Wiens,17.4.1930,Josef-Suwelack-Weg 189,94160,Ringelai,08555 / 47070153,0179 / 9294603,08555 / 72372378,claus.wiens@mail.xyz,ja
302,Herr,Prof.,Mads,Seyfried,17.2.1985,Grevener Str. 15,18528,Bergen auf Rügen,03838 / 20904007,0174 / 1230790,03838 / 48507756,m.seyfried@mail.xyz,ja
303,Frau,Dr.,Lina,Kegel,18.1.1923,Straßburger Weg 41,56281,Hungenroth,06747 / 33745477,0177 / 6414095,06747 / 12876666,l.kegel@mail.xyz,ja
304,Herr,Dr.,Rasmus,Friedrich,12.6.1991,Idenbrockplatz 7,88045,Friedrichshafen,07541 / 18926047,0156 / 8971460,07541 / 54399456,rasmus.friedrich@mail.xyz,ja
305,Frau,Prof.,Anke,Classen,12.5.1930,Dachsleite 53,56357,Ruppertshofen,06772 / 12008420,0155 / 1865099,06772 / 5394278,anke.classen@mail.xyz,ja
306,Herr,Dr.,Clemens,Eberhardt,13.4.1982,Kappenberger Damm 58,54298,Eisenach,06525 / 12346670,0167 / 9933693,06525 / 7630562,c.eberhardt@mail.xyz,ja
307,Herr,Dr.,Daniel,Böttner,18.6.1973,Papenbusch 161,72218,Wildberg,07054 / 36200937,0158 / 7152361,07054 / 54591653,daniel.boettner@mail.xyz,ja
308,Frau,Prof.,Anouk,West,8.5.1994,Dammstr. 7,73101,Aichelberg,07164 / 57321174,0156 / 3177105,07164 / 14643275,anouk.west@mail.xyz,ja
309,Herr,Prof.,Tristan,Eckart,15.4.1989,Kempener Str. 42,38170,Uehrde,05332 / 25061383,0173 / 7749486,05332 / 801427,t.eckart@mail.xyz,ja
310,Herr,Dr.,Chris,Scheffler,7.1.1952,Kreuzstr. 172,24799,Meggerdorf,04883 / 22645821,0155 / 3366542,04883 / 27377064,chris.scheffler@mail.xyz,ja
311,Herr,Dr.,Dieter,Saunders,9.2.1971,Zur Wiese 88,55490,Rohrbach,06763 / 74843682,0153 / 2911175,06763 / 39619525,d.saunders@mail.xyz,ja
312,Frau,Prof.,Diana,Höck,12.2.1956,Eibenweg 50,21398,Neetze,05850 / 45804048,0152 / 4896323,05850 / 53273583,diana.hoeck@mail.xyz,ja
313,Herr,Dr.,Christopher,Wilhelmi,14.11.1954,Hölkenbusch 83,26441,Jever,04461 / 38308888,0153 / 8487283,04461 / 47351076,c.wilhelmi@mail.xyz,ja
314,Frau,Prof.,Leoni,Hagemann,9.7.1969,Heroldstr. 189a,50739,Köln,0221 / 97022965,0177 / 8995148,0221 / 90940738,l.hagemann@mail.xyz,ja
315,Herr,Dr.,Lasse,Person,7.3.1948,Scheibenstr. 177,55585,Niederhausen,06708 / 93260008,0158 / 5965237,06708 / 24320278,l.person@mail.xyz,ja
316,Frau,Dr.,Helene,Haake,16.5.1997,Kerßenbrockstr. 200,22946,Hohenfelde,04154 / 3759015,0168 / 4240016,04154 / 48542846,helene.haake@mail.xyz,ja
317,Frau,Dr.,Waltraut,Gehrig,20.11.1975,Mersmannsstiege 88,97320,Großlangheim,09325 / 67793824,0152 / 3477061,09325 / 94123997,waltraut.gehrig@mail.xyz,ja
318,Frau,Dr.,Sigrid,Hecker,13.3.1958,Memmertweg 80,53506,Rech,02643 / 79512095,0152 / 8556147,02643 / 11346863,s.hecker@mail.xyz,ja
319,Herr,Dr.,Alex,Kaplan,17.8.1935,Westenkamp 87,91183,Abenberg,09873 / 63528593,0160 / 1984273,09873 / 34658652,a.kaplan@mail.xyz,ja
320,Frau,Prof.,Maike,Karsten,23.2.1974,Albachtener Str. 158,73579,Schechingen,07175 / 6501662,0163 / 4714502,07175 / 33983818,maike.karsten@mail.xyz,ja
321,Herr,Dr.,Lucas,Reyes,27.7.1981,Im Haubenfeld 159,34323,Malsfeld,05661 / 3969088,0168 / 2681861,05661 / 42967588,lucas.reyes@mail.xyz,ja
322,Herr,Prof.,Wolfgang,Nötzel,26.9.1958,Stolbergstr. 178,26931,Elsfleth,04404 / 92675793,0161 / 3670045,04404 / 86628523,wolfgang.noetzel@mail.xyz,ja
323,Frau,Dr.,Yasmin,Zell,12.1.1982,Dammstr. 38,21529,Kröppelshagen-Fahrendorf,04104 / 77544884,0175 / 8686544,04104 / 62098722,y.zell@mail.xyz,ja
324,Herr,Dr.,Karlo,Brewer,24.1.1951,Schwalbenweg 87,97357,Prichsenstadt,09383 / 74994990,0173 / 9527536,09383 / 18596649,karlo.brewer@mail.xyz,ja
325,Herr,Prof.,Kian,Ehmann,20.2.1936,Simon-Meister-Str. 145,47259,Duisburg,0203 / 4810392,0150 / 1512438,0203 / 89351674,kian.ehmann@mail.xyz,ja
326,Frau,Prof.,Katharina,Gabriel,5.4.1960,Neißestr. 147,33334,Gütersloh,05241 / 41064507,0158 / 3635011,05241 / 59552848,k.gabriel@mail.xyz,ja
327,Frau,Dr.,Mona,Schaf,23.12.1926,Herdingstr. 162,54426,Malborn,06504 / 58364363,0175 / 9134622,06504 / 23200748,mona.schaf@mail.xyz,ja
328,Herr,Dr.,Richard,Dietz,27.1.1974,Piusstr. 21,94547,Iggensbach,09903 / 26880889,0175 / 9528562,09903 / 29809715,r.dietz@mail.xyz,ja
329,Herr,Dr.,Michel,Ortiz,22.2.1965,Friedrichstr. 75,57639,Oberdreis,02684 / 93686419,0175 / 7327773,02684 / 38335706,michel.ortiz@mail.xyz,ja
330,Frau,Prof.,Jana,Parker,20.5.1966,Soetenkamp 197,37691,Boffzen,05271 / 75798313,0170 / 9424401,05271 / 6831070,jana.parker@mail.xyz,ja
331,Frau,Dr.,Dilara,Warnke,7.9.1953,Am Filk 131,49593,Bersenbrück,05439 / 99294473,0176 / 3300398,05439 / 42337674,dilara.warnke@mail.xyz,ja
332,Herr,Dr.,Swen,Taube,1.3.1922,Maximilianstr. 163,99099,Erfurt,0361 / 79220839,0170 / 9892426,0361 / 15142835,s.taube@mail.xyz,ja
333,Herr,Dr.,Matthis,Hauck,11.5.1967,Altenhofer Weg 173,60325,Frankfurt am Main,069 / 8622530,0176 / 2172061,069 / 30540260,m.hauck@mail.xyz,ja
334,Herr,Dr.,Jonathan,Haller,23.2.1949,Neusser Str. 163,06556,Artern,03466 / 77977827,0152 / 2050486,03466 / 60703924,j.haller@mail.xyz,ja
335,Herr,Dr.,Keno,Vater,13.7.1924,Angelmodder Weg 106,45478,Mülheim an der Ruhr,0208 / 74616962,0158 / 3677974,0208 / 58153594,k.vater@mail.xyz,ja
336,Herr,Prof.,Marius,Geis,27.9.1984,Langeworth 167,64668,Mitlechtern,06253 / 63962969,0164 / 6129259,06253 / 17522640,m.geis@mail.xyz,ja
337,Frau,Prof.,Lya,Karst,17.10.1930,Marientalstr. 80,72358,Dormettingen,07427 / 83215842,0162 / 1406185,07427 / 39267997,l.karst@mail.xyz,ja
338,Herr,Dr.,Lars,Eder,9.8.1946,Gasselstiege 76,92331,Parsberg,09492 / 62301519,0169 / 9735010,09492 / 66070932,l.eder@mail.xyz,ja
339,Herr,Dr.,Dominic,Klaus,4.10.1929,Birkenweg 48,73540,Heubach,07173 / 17350466,0151 / 6915188,07173 / 28078639,dominic.klaus@mail.xyz,ja
340,Herr,Dr.,Bennet,Braune,22.10.1945,Heisstr. 48,72144,Dußlingen,07072 / 35481143,0166 / 1705299,07072 / 4802331,b.braune@mail.xyz,ja
341,Frau,Dr.,Nelli,Preuss,13.12.1972,Meesenstiege 137,59939,Olsberg,02962 / 15075741,0170 / 4398515,02962 / 16346794,n.preuss@mail.xyz,ja
342,Frau,Dr.,Malin,Wenig,17.3.1922,Baumberger Str. 105,73061,Ebersbach an der Fils,07163 / 25953783,0163 / 1778982,07163 / 98939464,malin.wenig@mail.xyz,ja
343,Herr,Dr.,Hendrik,Feldmann,15.9.1946,Sporckweg 72a,83224,Staudach-Egerndach,08641 / 15979153,0175 / 1107683,08641 / 95531673,h.feldmann@mail.xyz,ja
344,Herr,Dr.,Henning,Bischoff,23.11.1976,Simon-Meister-Str. 149,54595,Watzerath,06551 / 32663307,0178 / 5128209,06551 / 25514038,h.bischoff@mail.xyz,ja
345,Frau,Dr.,Karolina,Kleine,28.8.1958,Emdener Str. 183,32547,Bad Oeynhausen,05731 / 7368313,0157 / 7799168,05731 / 19059438,k.kleine@mail.xyz,ja
346,Herr,Dr.,Ulrich,Hines,16.5.1946,Agrippastr. 10,28211,Bremen,0421 / 35455839,0151 / 2743562,0421 / 95990354,ulrich.hines@mail.xyz,ja
347,Herr,Dr.,Robert,Jimenez,22.10.1979,Oscar-Wilde-Str. 50,99098,Erfurt,0361 / 87002839,0152 / 6810896,0361 / 36229432,robert.jimenez@mail.xyz,ja
348,Herr,Dr.,Riccardo,Leder,17.8.1942,Heroldstr. 127,63839,Kleinwallstadt,06022 / 86502017,0176 / 3997937,06022 / 3670442,r.leder@mail.xyz,ja
349,Herr,Dr.,Norbert,Munk,26.5.1951,Kriegerweg 198,21514,Roseburg,04158 / 93439331,0160 / 8084426,04158 / 58090800,n.munk@mail.xyz,ja
350,Frau,Dr.,Kimberly,Haynes,9.3.1989,Guntherstr. 40,35584,Wetzlar,06441 / 3818838,0170 / 1480337,06441 / 96517997,kimberly.haynes@mail.xyz,ja
351,Frau,Dr.,Kim,Lamprecht,6.5.1984,Telemannstr. 67,85110,Kipfenberg,08465 / 62399022,0175 / 1290135,08465 / 44815774,kim.lamprecht@mail.xyz,ja
352,Herr,Dr.,Marko,Rainer,22.10.1961,Kerßenbrockstr. 61,54675,Gentingen,06564 / 54690824,0166 / 6050235,06564 / 20351855,marko.rainer@mail.xyz,ja
353,Herr,Dr.,Laurin,Kramer,28.3.1972,Gasselstiege 90,26427,Neuharlingersiel,04974 / 13349016,0166 / 8597599,04974 / 54449038,laurin.kramer@mail.xyz,ja
354,Frau,Prof.,Annette,Kaluza,16.11.1960,Im Stemmen 146,53520,Rodder,02691 / 14818210,0172 / 2367711,02691 / 88346353,annette.kaluza@mail.xyz,ja
355,Herr,Dr.,Jona,Nass,16.9.1962,Försterstr. 137,24306,Plön,04522 / 29467223,0159 / 6116835,04522 / 98258472,j.nass@mail.xyz,ja
356,Herr,Prof.,Walter,Heinrichs,9.5.1991,Telemannstr. 23a,86556,Kühbach,08251 / 65940273,0158 / 3625146,08251 / 18677927,walter.heinrichs@mail.xyz,ja
357,Herr,Dr.,Marlon,Bernhard,24.1.1948,Sternstr. 180,67259,Großniedesheim,06233 / 66848214,0150 / 7541203,06233 / 36234602,m.bernhard@mail.xyz,ja
358,Herr,Dr.,Horst,Kleinert,24.5.1928,Hensenstr. 67,66113,Saarbrücken,0681 / 46215706,0172 / 3737050,0681 / 85357818,h.kleinert@mail.xyz,ja
359,Frau,Dr.,Svea,Acar,4.6.1920,Flaßkuhl 132,88142,Wasserburg,08382 / 41057136,0169 / 6917032,08382 / 59175850,s.acar@mail.xyz,ja
360,Herr,Prof.,Claas,Marquard,19.10.1978,Friedrich-Ebert-Str. 35,65582,Aull,06432 / 76954314,0164 / 1058598,06432 / 94227691,c.marquard@mail.xyz,ja
361,Frau,Dr.,Christine,Kahlert,28.9.1978,Oberschlesier Str. 140,38384,Gevensleben,05354 / 50061661,0175 / 2470159,05354 / 84536378,christine.kahlert@mail.xyz,ja
362,Frau,Dr.,Giulia,Petry,12.5.1990,Münsterstr. 32,92724,Trabitz,09644 / 45329125,0175 / 4234880,09644 / 11152677,giulia.petry@mail.xyz,ja
363,Herr,Prof.,Hans,Hackbarth,22.10.1960,Baumberger Str. 23,47805,Krefeld,02151 / 17766346,0150 / 9522944,02151 / 68901527,hans.hackbarth@mail.xyz,ja
364,Frau,Dr.,Emely,Feiler,2.9.1958,Am Burloh 183,40235,Düsseldorf,0211 / 30922807,0175 / 2001917,0211 / 7268703,emely.feiler@mail.xyz,ja
365,Herr,Dr.,Kilian,Jagd,4.11.1954,Max-Winkelmann-Str. 194,54673,Herbstmühle,06564 / 91951126,0176 / 1493521,06564 / 54434233,k.jagd@mail.xyz,ja
366,Herr,Dr.,Reinhardt,Gill,9.8.1957,Goldregenweg 101,79415,Bad Bellingen,07635 / 81918676,0152 / 1439052,07635 / 80406497,r.gill@mail.xyz,ja
367,Herr,Dr.,Frank,Haase,18.5.1934,Hogenbergstr. 51,25585,Lütjenwestedt,04872 / 90772930,0171 / 6695457,04872 / 69206985,f.haase@mail.xyz,ja
368,Herr,Dr.,Gerhard,Janssen,2.7.1951,Mindener Str. 122,78250,Tengen,07736 / 94812543,0150 / 4091474,07736 / 64773630,gerhard.janssen@mail.xyz,ja
369,Herr,Dr.,Gerhard,Steinberg,28.11.1930,Zum Guten Hirten 172,41751,Viersen,02162 / 91144131,0171 / 7997767,02162 / 4537958,g.steinberg@mail.xyz,ja
370,Frau,Dr.,Sinah,Bade,28.6.1970,Am Brook 145,53229,Bonn,0228 / 85327165,0161 / 4119534,0228 / 14730413,s.bade@mail.xyz,ja
371,Herr,Dr.,Ernst,Wiedmann,24.3.1929,Dauvemühle 153,26603,Aurich,04941 / 17552075,0173 / 9880958,04941 / 89533027,e.wiedmann@mail.xyz,ja
372,Frau,Dr.,Sofie,Cole,12.2.1969,Am Brook 82,93167,Falkenstein,09462 / 55211797,0150 / 5219315,09462 / 8009118,sofie.cole@mail.xyz,ja
373,Herr,Dr.,Mike,Hubbard,7.7.1998,Willingrott 147,88662,Überlingen,07551 / 72027049,0166 / 2771960,07551 / 53017358,mike.hubbard@mail.xyz,ja
374,Herr,Dr.,Elias,Wilk,26.10.1942,Kanalstr. 76,28199,Bremen,0421 / 33558145,0170 / 1230510,0421 / 20367949,elias.wilk@mail.xyz,ja
375,Herr,Dr.,Matthias,Henschke,9.3.1980,Hüfferstr. 187,79232,March,07665 / 39138777,0173 / 1208412,07665 / 48349929,m.henschke@mail.xyz,ja
376,Frau,Dr.,Emmily,Seeliger,5.6.1963,Hirseweg 176,83379,Wonneberg,08681 / 92053465,0179 / 6624950,08681 / 26498087,emmily.seeliger@mail.xyz,ja
377,Herr,Dr.,Nic,Sandoval,4.9.1979,Berrischstr. 66,67459,Böhl-Iggelheim,06324 / 68292331,0155 / 4022655,06324 / 83500418,n.sandoval@mail.xyz,ja
378,Frau,Prof.,Mareike,Koller,25.12.1938,Piusstr. 127,86480,Aletshausen,08282 / 62965148,0175 / 8030624,08282 / 28171499,m.koller@mail.xyz,ja
379,Frau,Dr.,Caroline,Kehr,12.3.1937,Hermann-Treff-Weg 139,79282,Ballrechten-Dottingen,07634 / 42289375,0156 / 2457352,07634 / 46778788,caroline.kehr@mail.xyz,ja
380,Frau,Prof.,Chantalle,Bradley,23.9.1959,Steinfurter Str. 73,61231,Bad Nauheim,06032 / 93064807,0161 / 8733855,06032 / 72944025,c.bradley@mail.xyz,ja
381,Frau,Dr.,Waltraud,Sigmund,11.6.1932,Gildenstr. 4,72658,Bempflingen,07123 / 91988869,0160 / 2660350,07123 / 96408744,waltraud.sigmund@mail.xyz,ja
382,Herr,Prof.,Helmut,Langen,16.12.1924,Röttgensweg 10,66287,Quierschied,06897 / 81152054,0176 / 8278306,06897 / 70377696,h.langen@mail.xyz,ja
383,Frau,Prof.,Svenja,Klaus,15.8.1939,Teutonenstr. 40,12439,Treptow-Köpenick,030 / 14112936,0170 / 7385872,030 / 24287462,s.klaus@mail.xyz,ja
384,Frau,Dr.,Nicole,Neher,23.6.1935,Avendruper Str. 147,93348,Kirchdorf,09444 / 25739324,0151 / 6797352,09444 / 17270893,n.neher@mail.xyz,ja
385,Frau,Dr.,Jessica,Reed,19.4.1984,Geiststr. 8,55608,Bergen,06752 / 10140903,0170 / 5134844,06752 / 23458245,jessica.reed@mail.xyz,ja
386,Frau,Dr.,Kaja,Kopp,6.4.1984,Soetenkamp 99,84434,Kirchberg,08762 / 93845345,0173 / 9447689,08762 / 5105024,k.kopp@mail.xyz,ja
387,Herr,Dr.,Liam,Buse,19.2.1992,Kapellenstr. 146,86653,Daiting,09091 / 54847892,0172 / 4945105,09091 / 56154057,liam.buse@mail.xyz,ja
388,Herr,Prof.,Juri,Reiser,3.10.1969,Hülsebrockstr. 22a,73249,Wernau,07153 / 78387204,0154 / 6735008,07153 / 22457688,juri.reiser@mail.xyz,ja
389,Herr,Dr.,Finn,Sonntag,19.5.1982,Marderweg 40,41849,Wassenberg,02432 / 67770912,0174 / 8771797,02432 / 85619834,f.sonntag@mail.xyz,ja
390,Frau,Prof.,Ingeborg,Henning,18.2.1969,Buldernweg 185,79295,Sulzburg,07634 / 83556536,0166 / 9436554,07634 / 92901641,ingeborg.henning@mail.xyz,ja
391,Herr,Dr.,Martin,Buchanan,4.4.1923,Mariendorfer Str. 46,84561,Mehring,08677 / 17231860,0156 / 9646880,08677 / 5522791,martin.buchanan@mail.xyz,ja
392,Herr,Dr.,Vincent,Beer,6.12.1972,Wolbecker Str. 127,31609,Balge,05022 / 91495938,0150 / 6261025,05022 / 37644599,v.beer@mail.xyz,ja
393,Herr,Dr.,Enrico,Schell,9.10.1966,Am Oedingteich 48,49777,Groß Berßen,05965 / 76670109,0173 / 3913913,05965 / 23794405,e.schell@mail.xyz,ja
394,Herr,Dr.,Björn,Baumgart,14.3.1957,Hoove 143,54689,Dahnen,06550 / 72171779,0155 / 9229179,06550 / 14288157,b.baumgart@mail.xyz,ja
395,Herr,Prof.,Matis,Pecher,6.10.1929,Hüfferstr. 192,63916,Amorbach,09373 / 78835255,0158 / 2752738,09373 / 55362484,matis.pecher@mail.xyz,ja
396,Herr,Dr.,Kurt,Furt,28.4.1999,Am Pulverschuppen 41,57250,Netphen,02738 / 41231585,0174 / 7777305,02738 / 63808769,k.furt@mail.xyz,ja
397,Herr,Dr.,Matis,Burkhardt,9.8.1948,Steinkamp 97a,26624,Südbrookmerland,04942 / 55836481,0165 / 3409576,04942 / 37206803,matis.burkhardt@mail.xyz,ja
398,Frau,Dr.,Kristina,Puls,14.2.1982,Hansaring 36,34454,Bad Arolsen,05691 / 33199545,0160 / 2818564,05691 / 20010697,k.puls@mail.xyz,ja
399,Herr,Dr.,Andreas,Warnecke,18.11.1965,Rektoratsweg 1a,96167,Königsfeld,09207 / 56691824,0179 / 6768344,09207 / 13206107,andreas.warnecke@mail.xyz,ja
400,Frau,Prof.,Annalena,Trapp,8.10.1958,Carossastr. 40,76889,Birkenhördt,06343 / 84430378,0150 / 4665284,06343 / 20420694,a.trapp@mail.xyz,ja
401,Herr,Prof.,Artur,Geist,17.3.1966,Mierendorffstr. 189,91468,Gutenstetten,09163 / 77373202,0162 / 9366695,09163 / 92819644,artur.geist@mail.xyz,ja
402,Frau,Dr.,Rita,Sigl,15.9.1993,Wolbecker Str. 176,94353,Haibach,09963 / 3573152,0176 / 3222296,09963 / 25699116,r.sigl@mail.xyz,ja
403,Herr,Dr.,Tore,Hörmann,25.1.1925,Dodostr. 61,68766,Hockenheim,06205 / 26286988,0174 / 5548025,06205 / 63908236,t.hoermann@mail.xyz,ja
404,Frau,Dr.,Waldtraut,Träger,1.2.1948,Holunderweg 48,10967,Berlin,030 / 55883950,0163 / 6534656,030 / 92587658,waldtraut.traeger@mail.xyz,ja
405,Herr,Dr.,Maxim,Campbell,9.11.1954,Mariendorfer Str. 168,54655,Malberg,06563 / 3114784,0177 / 2350769,06563 / 21368504,maxim.campbell@mail.xyz,ja
406,Herr,Dr.,Janik,Joseph,2.10.1962,Hensenstr. 132,89429,Bachhagel,09077 / 28072873,0176 / 9926081,09077 / 60692175,janik.joseph@mail.xyz,ja
407,Frau,Prof.,Anica,Herrera,22.11.1966,Liboristr. 68,86741,Ehingen am Ries,09082 / 22308956,0175 / 9006507,09082 / 24203118,a.herrera@mail.xyz,ja
408,Herr,Dr.,Maxim,Koller,3.6.1938,Sanddornweg 188,80933,München,089 / 90903309,0178 / 3229187,089 / 10761871,maxim.koller@mail.xyz,ja
409,Herr,Dr.,Filip,Brosch,23.9.1921,Kurze Str. 198a,92660,Neustadt an der Waldnaab,09602 / 36285004,0171 / 6021738,09602 / 59704295,filip.brosch@mail.xyz,ja
410,Herr,Dr.,Louis,Degner,4.4.1938,Steinkamp 122,42399,Wuppertal,0202 / 13190745,0152 / 9560666,0202 / 52487463,louis.degner@mail.xyz,ja
411,Frau,Dr.,Josephine,Hennig,7.11.1981,Rinscheweg 124,31863,Coppenbrügge,05156 / 77225776,0173 / 3727801,05156 / 31608652,j.hennig@mail.xyz,ja
412,Frau,Prof.,Henriette,Schuster,22.2.1985,Schwalbenweg 64,27412,Tarmstedt,04283 / 70099292,0172 / 9127896,04283 / 71345675,h.schuster@mail.xyz,ja
413,Herr,Dr.,Matthis,Guth,5.4.1945,Bünkamp 22,90537,Feucht,09128 / 99002513,0166 / 8924091,09128 / 34434185,matthis.guth@mail.xyz,ja
414,Frau,Prof.,Nicole,Gebel,7.8.1944,Piusstr. 22,23552,Lübeck,0451 / 69850959,0170 / 2479764,0451 / 91124431,n.gebel@mail.xyz,ja
415,Frau,Dr.,Mona,Tillmann,17.11.1922,Herdingstr. 154,35108,Allendorf,06452 / 95634461,0173 / 6169774,06452 / 525882,m.tillmann@mail.xyz,ja
416,Frau,Prof.,Anica,Rüdiger,25.6.1923,Stettiner Str. 14,25980,Rantum,04651 / 90134445,0177 / 1680880,04651 / 23143384,anica.ruediger@mail.xyz,ja
417,Herr,Dr.,Peter,Bowman,18.4.1929,Heisstr. 84,23883,Lehmrade,04547 / 49754913,0178 / 4396655,04547 / 55238574,peter.bowman@mail.xyz,ja
418,Frau,Prof.,Maria,Kanzler,4.1.1968,Schiffahrter Damm 134,55481,Maitzborn,06763 / 3599072,0150 / 1631336,06763 / 91403559,m.kanzler@mail.xyz,ja
419,Frau,Prof.,Kerstin,Schumacher,19.7.1972,Altenhofer Weg 12,13581,Spandau,030 / 84098888,0160 / 6356704,030 / 72356850,k.schumacher@mail.xyz,ja
420,Frau,Dr.,Irmgard,Abele,24.4.1946,Görlitzer Str. 171,57629,Mörsbach,02662 / 4633724,0177 / 4872718,02662 / 76944278,i.abele@mail.xyz,ja
421,Frau,Dr.,Ute,Horstmann,11.1.1940,Grevener Str. 173a,56761,Masburg,02653 / 38445142,0153 / 7588351,02653 / 74936745,u.horstmann@mail.xyz,ja
422,Frau,Dr.,Linda,Gans,14.6.1970,Breslauer Str. 83,27386,Hemsbünde,04266 / 4019365,0165 / 8882768,04266 / 14052892,linda.gans@mail.xyz,ja
423,Herr,Dr.,Vincent,Blum,6.7.1977,Hindenburgplatz 120,26529,Osteel,04934 / 74324649,0151 / 8860031,04934 / 11922744,vincent.blum@mail.xyz,ja
424,Herr,Dr.,Kai,Fernandez,19.2.1920,Immelmannstr. 47,55566,Ippenschied,06751 / 73580505,0165 / 3335688,06751 / 96134156,kai.fernandez@mail.xyz,ja
425,Herr,Dr.,Detlev,Dietz,4.11.1927,Dahlweg 186,25579,Rade,04822 / 46135224,0168 / 6952584,04822 / 70622702,detlev.dietz@mail.xyz,ja
426,Frau,Dr.,Kiara,Demmel,6.9.1975,Zülpicher Str. 27,94269,Rinchnach,09921 / 75452071,0177 / 7244794,09921 / 56101621,k.demmel@mail.xyz,ja
427,Frau,Dr.,Leoni,Kahle,7.5.1983,Äußere Kanalstr. 196,60489,Frankfurt am Main,069 / 86354341,0168 / 8992327,069 / 69910630,l.kahle@mail.xyz,ja
428,Herr,Prof.,Patrik,Nehring,12.10.1985,Kurze Str. 51,94354,Haselbach,09961 / 15028729,0151 / 7484608,09961 / 97103675,p.nehring@mail.xyz,ja
429,Frau,Prof.,Lotta,Joseph,22.12.1959,Gustav-Tweer-Weg 119,67112,Mutterstadt,06234 / 74578709,0161 / 1308803,06234 / 82883872,lotta.joseph@mail.xyz,ja
430,Herr,Dr.,Jens,Apel,26.1.1966,Hüfferstr. 30,68169,Mannheim,0621 / 20590355,0151 / 5530255,0621 / 79086766,j.apel@mail.xyz,ja
431,Frau,Dr.,Marion,Kastner,18.2.1920,Kröver Str. 39,06449,Aschersleben-Anhalt,03473 / 91082589,0160 / 7242491,03473 / 69907567,marion.kastner@mail.xyz,ja
432,Frau,Dr.,Hannah,Brodersen,10.6.1951,Oberschlesier Str. 70,91054,Buckenhof,09131 / 40502167,0154 / 8367035,09131 / 67286526,hannah.brodersen@mail.xyz,ja
433,Frau,Dr.,Martha,Haberl,1.12.1992,Rosenplatz 19,67578,Gimbsheim,06249 / 63182220,0163 / 2816347,06249 / 50200123,m.haberl@mail.xyz,ja
434,Frau,Prof.,Mara,Schädler,28.1.1973,Drachterstr. 138,48480,Schapen,05977 / 42458924,0177 / 3089663,05977 / 57137567,m.schaedler@mail.xyz,ja
435,Herr,Dr.,Henri,Pätzold,9.7.1963,Werseblick 120,89429,Bachhagel,09077 / 9323819,0154 / 8654116,09077 / 80611670,h.paetzold@mail.xyz,ja
436,Frau,Prof.,Annabelle,Tews,8.10.1936,Dauvemühle 76,70794,Filderstadt,0711 / 39481988,0157 / 9322567,0711 / 55031043,a.tews@mail.xyz,ja
437,Frau,Prof.,Marah,Wilson,21.10.1943,An den Weiden 14,73433,Aalen,07361 / 55568537,0179 / 1556033,07361 / 21868016,marah.wilson@mail.xyz,ja
438,Frau,Dr.,Silvia,Karcher,20.4.1990,Münzstr. 197,94330,Salching,09421 / 18538958,0174 / 4000477,09421 / 43432348,silvia.karcher@mail.xyz,ja
439,Herr,Dr.,Norbert,Giese,12.11.1962,Wolbecker Str. 3,29379,Wittingen,05831 / 13912546,0159 / 5503043,05831 / 30524969,norbert.giese@mail.xyz,ja
440,Herr,Prof.,Lennox,Denecke,6.1.1988,Rincklakeweg 143,86692,Münster,08276 / 92128979,0151 / 7316783,08276 / 26220352,lennox.denecke@mail.xyz,ja
441,Frau,Prof.,Elena,Schaub,2.2.1984,Marientalstr. 13,26847,Detern,04957 / 11675814,0167 / 9819038,04957 / 71584035,e.schaub@mail.xyz,ja
442,Herr,Dr.,Leo,Malinowski,6.1.1956,Sporckweg 169,72127,Kusterdingen,07071 / 6683306,0169 / 2570885,07071 / 92322579,l.malinowski@mail.xyz,ja
443,Frau,Dr.,Karla,Perry,3.12.1977,Äußere Kanalstr. 146,36037,Fulda,0661 / 2371734,0177 / 1092328,0661 / 48081475,karla.perry@mail.xyz,ja
444,Frau,Prof.,Ina,Sass,8.1.1962,Düesbergweg 182,54649,Lauperath,06550 / 47162930,0162 / 1801661,06550 / 7969940,ina.sass@mail.xyz,ja
445,Herr,Dr.,Connor,Lay,23.12.1927,Im Haubenfeld 158,56412,Ruppach-Goldhausen,02602 / 92305160,0175 / 6260134,02602 / 45317376,c.lay@mail.xyz,ja
446,Herr,Dr.,Lars,Böse,7.8.1923,Marientalstr. 85,99880,Teutleben,03622 / 69713569,0164 / 8756896,03622 / 75776966,l.boese@mail.xyz,ja
447,Herr,Dr.,Daniel,Cunningham,9.9.1930,Idenbrockplatz 118,54552,Brockscheid,06592 / 57189791,0162 / 5114847,06592 / 50881025,daniel.cunningham@mail.xyz,ja
448,Herr,Dr.,Laurin,Sieben,24.3.1923,Stolbergstr. 30,84562,Mettenheim,08631 / 71677928,0163 / 3946926,08631 / 74896545,l.sieben@mail.xyz,ja
449,Herr,Dr.,Bernhard,Cunningham,25.3.1988,Kappenberger Damm 8,79875,Dachsberg,07672 / 35201687,0172 / 2829471,07672 / 18938665,b.cunningham@mail.xyz,ja
450,Frau,Dr.,Miriam,Wright,25.12.1994,Gescherweg 178,45894,Gelsenkirchen,0209 / 57310519,0173 / 9793841,0209 / 33155580,m.wright@mail.xyz,ja
